cd_llh_traces,node_traces,bignodes_traces,unnormpost_traces,depth_traces,base_value_traces,std_traces,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
-532.13425577769453,6.0,6.0,-765.48020061985164,3.0,3.8525344739992309,3.781356518612605,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25034888944308342,0.67618801421938368,0.06859100603307472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-521.30137805198012,6.0,4.0,-732.06098772590553,3.0,3.8248418946880438,7.1018740789954977,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27683135438187256,0.69250850496970151,0.029730365404338446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-517.19427683429342,6.0,4.0,-726.60052204624708,3.0,4.868797848057806,8.8278988742521634,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14591411575199112,0.81327181183371522,0.037088932592834384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-516.48695386230133,6.0,4.0,-726.11764559068183,3.0,2.0147492607791859,6.6949231466366204,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29183276090804872,0.68963484524177543,0.01413890621667545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-521.5186181364196,6.0,3.0,-763.13274496148733,3.0,2.7173994931783554,10.673578853089552,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18183278013036866,0.79962518019763884,0.015274547789642129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-515.50877522120004,6.0,5.0,-728.51578144333234,3.0,2.591254718253551,13.699095979997411,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18082061527498416,0.77299738483325431,0.045959396741279246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-515.32518146250936,6.0,4.0,-717.78204716291214,3.0,3.7142575337315948,7.0012917724338255,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16650296747221666,0.78304321419494105,0.043593889404018399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-518.14179249806728,6.0,4.0,-721.09230404452819,3.0,2.8372030871778939,6.6509701226068305,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23272510293667006,0.7340122706679445,0.029163637205981564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-512.76342501443366,6.0,3.0,-712.10081137091004,3.0,3.9860396071152948,4.876389509414369,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15434290113370835,0.82379222784548833,0.017656947723866469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-524.56852417984874,8.0,3.0,-749.2571338964766,3.0,4.7040493514334161,4.6085324651976656,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27151705914952057,0.69128219713621442,0.031097497406223779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-528.47154062867526,7.0,3.0,-757.36555730237751,3.0,4.312480984280592,3.8825839481943074,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25087721221801357,0.7283559524876646,0.014043157704320788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-505.60432573525128,7.0,4.0,-713.49314788135041,3.0,4.9784859338449277,4.5114530274697309,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16976271030497081,0.80735209854563084,0.018810846029299819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-508.32613593432529,7.0,4.0,-713.5378553514123,3.0,4.0636484573176697,4.3568758805833427,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2537791978546533,0.71554951229508446,0.026082074395009727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-502.27586365347145,6.0,4.0,-709.816165252681,3.0,3.526538071145624,7.5108028399449331,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16044933648848644,0.79027500163789455,0.047367877059567985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-503.04381689493931,6.0,4.0,-706.41041044248959,3.0,5.2273510494760211,4.7197343967615399,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13292894672390376,0.82914642815784723,0.035829122749334037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-508.52870650034004,7.0,4.0,-708.21090852305963,3.0,5.7824445117794809,3.4404722200625808,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025433836861337256,0.90175651744577834,0.063078218938007052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-500.71852108512434,5.0,4.0,-678.7163596316891,3.0,6.4265804311845578,4.4003197505689098,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32312576392532194,0.65514655461549032,0.017876342847875558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
